Learning Rate    Final Loss    Iteration Count
0.002            4.73E+03      1000.0             
0.001            4.77E+03      1000.0             
0.003            4.82E+03      1000.0             
0.004            4.93E+03      1000.0             
0.005            5.03E+03      1000.0             
0.006            5.12E+03      1000.0             
0.049            5.20E+03      1000.0             
0.007            5.20E+03      1000.0             
0.008            5.28E+03      1000.0             
0.009            5.35E+03      1000.0             
0.010            5.42E+03      1000.0             
0.011            5.49E+03      1000.0             
0.012            5.56E+03      1000.0             
0.013            5.63E+03      1000.0             
0.014            5.70E+03      1000.0             
0.015            5.78E+03      1000.0             
0.016            5.85E+03      1000.0             
0.017            5.93E+03      1000.0             
0.050            6.00E+03      1000.0             
0.018            6.00E+03      1000.0             
0.019            6.07E+03      1000.0             
0.020            6.14E+03      1000.0             
0.021            6.21E+03      1000.0             
0.022            6.27E+03      1000.0             
0.023            6.33E+03      1000.0             
0.024            6.39E+03      1000.0             
0.025            6.44E+03      1000.0             
0.026            6.49E+03      1000.0             
0.027            6.53E+03      1000.0             
0.051            6.53E+03      1000.0             
0.028            6.58E+03      1000.0             
0.029            6.62E+03      1000.0             
0.030            6.66E+03      1000.0             
0.031            6.71E+03      1000.0             
0.032            6.75E+03      1000.0             
0.033            6.80E+03      1000.0             
0.034            6.86E+03      1000.0             
0.035            6.92E+03      1000.0             
0.036            7.00E+03      1000.0             
0.037            7.08E+03      1000.0             
0.038            7.19E+03      1000.0             
0.039            7.31E+03      1000.0             
0.040            7.46E+03      1000.0             
0.041            7.63E+03      1000.0             
0.048            7.82E+03      1000.0             
0.042            7.84E+03      1000.0             
0.043            8.07E+03      1000.0             
0.044            8.34E+03      1000.0             
0.045            8.60E+03      1000.0             
0.047            8.75E+03      1000.0             
0.046            8.81E+03      1000.0             
0.052            1.26E+05      1000.0             
0.053            1.83E+06      1000.0             
0.054            3.14E+07      1000.0             
0.055            9.78E+08      1000.0             
0.057            1.33E+09      1000.0             
0.056            8.37E+09      1000.0             
0.058            1.70E+12      1000.0             
0.059            9.47E+13      1000.0             
0.061            3.99E+14      1000.0             
0.060            1.30E+15      1000.0             
0.062            4.50E+16      1000.0             
0.063            6.58E+17      1000.0             
0.064            3.66E+20      1000.0             
0.065            5.46E+22      1000.0             
0.066            7.05E+23      1000.0             
0.067            1.58E+26      1000.0             
0.068            2.33E+28      1000.0             
0.069            1.11E+29      1000.0             
0.070            9.82E+29      1000.0             
0.071            3.13E+33      1000.0             
0.072            1.60E+37      1000.0             
0.073            1.46E+39      1000.0             
0.074            9.32E+41      1000.0             
0.075            4.47E+43      1000.0             
0.076            1.06E+47      1000.0             
0.078            2.38E+48      1000.0             
0.077            5.54E+48      1000.0             
0.079            1.15E+51      1000.0             
0.080            9.59E+55      1000.0             
0.081            4.05E+58      1000.0             
0.082            6.61E+59      1000.0             
0.084            1.57E+62      1000.0             
0.083            4.97E+62      1000.0             
0.085            3.94E+65      1000.0             
0.086            5.80E+67      1000.0             
0.087            5.32E+70      1000.0             
0.088            7.32E+71      1000.0             
0.089            1.25E+72      1000.0             
0.090            1.85E+76      1000.0             
0.091            1.15E+78      1000.0             
0.093            4.55E+79      1000.0             
0.092            1.22E+80      1000.0             
0.094            1.61E+83      1000.0             
0.095            3.95E+84      1000.0             
0.096            2.54E+87      1000.0             
0.097            1.78E+90      1000.0             
0.098            1.29E+93      1000.0             
0.099            2.34E+96      1000.0             
